rank,title,author,publisher,price
1,공부머리 독서법, 최승필,책구루,"16,500원"
2,수미네 반찬, 김수미,성안당,"17,000원"
3,스즈키 바이올린 교본 1, 세광음악 편집부,세광음악출판사,"12,000원"
4,13번째 증언, 윤지오,가연,"13,800원"
5,가장 예쁜 생각을 너에게 주고 싶다, 나태주,알에이치코리아,"13,000원"
6,생일축하해, 블루래빗 편집부,블루래빗,"24,500원"
7,고요할수록 밝아지는 것들, 혜민,수오서재,"15,000원"
8,아주 작은 습관의 힘, 제임스 클리어,비즈니스북스,"16,000원"
9,철학은 어떻게 삶의 무기가 되는가, 야마구치 슈,다산초당,"16,000원"
10,아이의 떼 거부 고집을 다.루.다, 정유진,미스터제이,"15,800원"
11,설민석의 한국사 대모험 9, 설민석,아이휴먼,"10,500원"
12,건반이 있는 음악노트, 삼호뮤직 편집부,삼호뮤직,"1,000원"
13,나는 나로 살기로 했다, 김수현,마음의숲,"13,800원"
14,예뿍이의 종이구관 2, 예뿍,우철,"14,800원"
15,로맨스는 별책부록 1, 정현정,알에이치코리아,"16,000원"
16,만복이네 떡집, 김리리,비룡소,"8,500원"
17,로맨스는 별책부록 2, 정현정,알에이치코리아,"16,000원"
18,해커스 토익 기출 보카, David Cho,해커스어학연구소,"12,900원"
19,말센스, 셀레스트 헤들리,스몰빅라이프,"14,500원"
20,리밸런싱, 박홍기,좋은땅,"18,500원"
21,부자 아빠 가난한 아빠 20주년 특별 기념판, 로버트 기요사키,민음인,"15,800원"
22,"라이언, 내 곁에 있어줘", 전승환,아르테(arte),"15,300원"
23,융의 영혼의 지도, 머리 스타인,문예출판사,"17,000원"
24,꽃을 보듯 너를 본다, 나태주,지혜,"10,000원"
25,사피엔스, 유발 하라리,김영사,"22,000원"
